date,portfolio_gbp,benchmark_gbp,portfolio_return_pct,benchmark_return_pct
2026-04-28,10000.0,10000.0,0.0,0.0
2026-04-29,9936.28,10039.72,-0.637,0.397
2026-04-30,9932.66,10044.69,-0.673,0.447
2026-05-01,9984.53,9980.91,-0.155,-0.191
